Employee Name, Job Title, Base Pay, Overtime Pay, Other Pay, Benefits, Total Pay & Benefits, Year, Notes, Agency, Status
"Not provided","Teachg Asst-1/10-Gship",46044.0,0.0,0.0,0.0,46044.0,2020,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",30189.0,0.0,5906.0,9948.0,46043.0,2013,"None","University of California",
"Not provided","Teachg Asst-Gship",46030.0,0.0,0.0,0.0,46030.0,2019,"None","University of California",
"Not provided","Teachg Asst-Gship",36252.0,0.0,9758.0,0.0,46010.0,2019,"None","University of California",
"Not Provided","Teachg Asst-Gship",45945.0,50.0,0.0,0.0,45995.0,2022,"None","University of California",
"Not provided","Teachg Asst-Gship",45986.0,0.0,0.0,0.0,45986.0,2019,"None","University of California",
"**** ****","Teachg Asst-1/10-Gship",45984.0,0.0,0.0,0.0,45984.0,2021,"None","University of California",
"**** ****","Teachg Asst-1/10-Gship",45984.0,0.0,0.0,0.0,45984.0,2021,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",39652.0,0.0,6283.0,0.0,45935.0,2023,"None","University of California",
"Not Provided","Teachg Asst-Gship",36800.0,0.0,9134.0,0.0,45934.0,2022,"None","University of California",
"Not Provided","Teachg Asst-Gship",31441.0,0.0,14371.0,0.0,45812.0,2023,"None","University of California",
"Not provided","Teachg Asst-1/10-Gship",45811.0,0.0,0.0,0.0,45811.0,2020,"None","University of California",
"Not provided","Teachg Asst-1/10-Gship",45775.0,0.0,0.0,0.0,45775.0,2020,"None","University of California",
"Not Provided","Teachg Asst-Gship",45768.0,0.0,0.0,0.0,45768.0,2022,"None","University of California",
"**** ****","Teachg Asst-Gship",29348.0,0.0,16414.0,0.0,45762.0,2021,"None","University of California",
"Not Provided","Teachg Asst-Gship",39162.0,0.0,6594.0,0.0,45756.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",33347.0,0.0,12403.0,0.0,45750.0,2020,"None","University of California",
"**** ****","Teachg Asst-1/10-Gship",45718.0,0.0,0.0,0.0,45718.0,2021,"None","University of California",
